Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,RoundID,Home Team Initials,Away Team Initials,home_rank,home_total_points,home_previous_points,home_rank_change,away_rank,away_total_points,away_previous_points,away_rank_change
2014.0,Group A,Brazil,3.0,1.0,Croatia, ,1.0,1.0,255931.0,BRA,CRO,6.0,1316.0,1316.0,0.0,19.0,946.0,946.0,0.0
2014.0,Group A,Mexico,1.0,0.0,Cameroon, ,0.0,0.0,255931.0,MEX,CMR,20.0,913.0,913.0,0.0,42.0,665.0,664.0,1.0
2014.0,Group B,Spain,1.0,5.0,Netherlands, ,1.0,1.0,255931.0,ESP,NED,9.0,1142.0,1142.0,0.0,5.0,1374.0,1374.0,0.0
2014.0,Group B,Chile,3.0,1.0,Australia, ,2.0,1.0,255931.0,CHI,AUS,14.0,1022.0,1022.0,0.0,100.0,324.0,327.0,2.0
2014.0,Group C,Colombia,3.0,0.0,Greece, ,1.0,0.0,255931.0,COL,GRE,3.0,1450.0,1450.0,0.0,24.0,856.0,856.0,1.0
2014.0,Group D,Uruguay,1.0,3.0,Costa Rica, ,1.0,0.0,255931.0,URU,CRC,10.0,1135.0,1135.0,0.0,16.0,997.0,995.0,0.0
2014.0,Group D,England,1.0,2.0,Italy, ,1.0,1.0,255931.0,ENG,ITA,13.0,1032.0,1032.0,0.0,11.0,1103.0,1103.0,0.0
2014.0,Group C,Ivory Coast,2.0,1.0,Japan, ,0.0,1.0,255931.0,CIV,JPN,28.0,833.0,861.0,4.0,54.0,563.0,563.0,1.0
2014.0,Group E,Switzerland,2.0,1.0,Ecuador, ,0.0,1.0,255931.0,SUI,ECU,12.0,1091.0,1091.0,0.0,26.0,852.0,852.0,1.0
2014.0,Group E,France,3.0,0.0,Honduras, ,1.0,0.0,255931.0,FRA,HON,7.0,1160.0,1160.0,0.0,71.0,461.0,461.0,1.0
2014.0,Group F,Argentina,2.0,1.0,Bosnia and Herzegovina, ,1.0,0.0,255931.0,ARG,BIH,2.0,1538.0,1538.0,0.0,29.0,817.0,808.0,0.0
2014.0,Group G,Germany,4.0,0.0,Portugal, ,3.0,0.0,255931.0,GER,POR,1.0,1725.0,1725.0,0.0,7.0,1160.0,1160.0,0.0
2014.0,Group F,IR Iran,0.0,0.0,Nigeria, ,0.0,0.0,255931.0,IRN,NGA,51.0,580.0,547.0,5.0,43.0,656.0,656.0,1.0
2014.0,Group G,Ghana,1.0,2.0,USA, ,0.0,1.0,255931.0,GHA,USA,37.0,714.0,714.0,0.0,27.0,836.0,836.0,1.0
2014.0,Group H,Belgium,2.0,1.0,Algeria, ,0.0,1.0,255931.0,BEL,ALG,4.0,1417.0,1417.0,0.0,18.0,948.0,948.0,0.0
2014.0,Group A,Brazil,0.0,0.0,Mexico, ,0.0,0.0,255931.0,BRA,MEX,6.0,1316.0,1316.0,0.0,20.0,913.0,913.0,0.0
2014.0,Group H,Russia,1.0,1.0,Korea Republic, ,0.0,0.0,255931.0,RUS,KOR,31.0,789.0,789.0,0.0,69.0,481.0,481.0,0.0
2014.0,Group B,Australia,2.0,3.0,Netherlands, ,1.0,1.0,255931.0,AUS,NED,100.0,324.0,327.0,2.0,5.0,1374.0,1374.0,0.0
